                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2058,                 2.2153,                 1.1962,                0.63585,                0.59597,                0.58371,                0.38476,                 1.0031,                 12.447,                 1.0721,              0.0033245,              0.0033245,              0.0033245
                      2,                 1.1988,                 1.5093,                 1.1881,                0.67255,                0.60579,                0.62493,                0.40666,                 1.0469,                 4.9547,                 1.1004,              0.0066447,              0.0066447,              0.0066447
                      3,                 1.2614,                 1.3376,                 1.2243,                0.52963,                0.48736,                 0.4854,                 0.3122,                 1.1597,                  5.628,                 1.1906,              0.0099516,              0.0099516,              0.0099516
                      4,                 1.2939,                 1.2419,                 1.2465,                0.63152,                0.61792,                 0.6096,                0.38864,                  1.073,                 4.3537,                 1.1394,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.2402,                 1.1498,                 1.2259,                0.66825,                0.63078,                0.65086,                 0.4223,                 1.0685,                  1.521,                  1.148,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.2133,                 1.0802,                 1.2178,                0.72947,                0.62427,                0.67072,                0.43353,                 1.0583,                 1.3145,                 1.1391,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1909,                 1.0394,                 1.2045,                 0.7378,                0.63807,                 0.6855,                0.44382,                 1.0352,                 1.6729,                 1.1156,               0.009901,               0.009901,               0.009901
                      8,                 1.1597,                0.99779,                 1.1908,                0.75157,                0.67695,                0.72051,                0.47494,                0.97252,                 1.5109,                 1.0841,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.1372,                0.97744,                 1.1862,                0.74703,                0.67314,                0.72367,                0.48976,                0.95502,                 1.1146,                 1.0754,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.1195,                0.95624,                 1.1704,                  0.777,                0.68611,                0.73711,                 0.4917,                0.94708,                 1.1522,                 1.0763,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.1121,                 0.9478,                  1.165,                0.73055,                0.69302,                0.73848,                0.49712,                0.93039,                  1.034,                 1.0727,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.0871,                0.90022,                 1.1559,                0.79762,                0.71116,                0.76108,                0.50742,                0.93319,                 1.5891,                 1.0687,               0.009802,               0.009802,               0.009802
                     13,                 1.0869,                0.89433,                 1.1564,                0.77051,                0.71203,                0.76743,                0.52064,                0.90079,                0.89143,                  1.053,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.0949,                 0.9074,                 1.1597,                0.82055,                0.72724,                 0.7909,                0.54522,                0.88443,                 1.3606,                  1.037,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.0705,                0.88128,                 1.1443,                0.80666,                0.73101,                0.78483,                0.53452,                0.90106,                0.76712,                 1.0459,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.0555,                0.86416,                 1.1376,                0.80867,                0.73377,                0.79528,                0.54087,                 0.8867,                 1.4934,                 1.0479,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.0495,                0.84125,                 1.1342,                0.82524,                0.73897,                0.80061,                 0.5472,                0.88425,                0.89724,                 1.0395,               0.009703,               0.009703,               0.009703
                     18,                  1.039,                0.83373,                 1.1303,                0.83658,                0.74268,                0.80407,                0.55832,                0.86371,                0.95862,                 1.0358,              0.0096832,              0.0096832,              0.0096832
                     19,                  1.037,                0.83824,                 1.1295,                0.83606,                0.74929,                0.81305,                0.56679,                0.85188,                 1.4091,                 1.0288,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.0407,                0.83409,                 1.1368,                  0.847,                0.74442,                 0.8185,                0.57364,                0.86248,                    1.2,                  1.022,              0.0096436,              0.0096436,              0.0096436
